x,y,z
538,366,a
538,370,a
538,377,a
538,380,a
538,382,a
538,386,a
538,393,a
538,395,a
538,399,a
537,405,a
537,410,a
537,414,a
537,418,a
536,420,a
536,422,a
536,423,a
536,425,a
536,428,a
536,431,a
536,432,a
536,433,a
536,434,a
536,435,a
536,436,a
536,437,a
536,438,a
536,439,a
536,440,a
536,441,a
536,442,a
536,444,a
536,446,a
536,447,a
537,449,a
537,451,a
537,453,a
537,455,a
537,456,a
537,457,a
537,458,a
537,459,a
537,460,a
537,459,a
536,458,a
536,456,a
535,454,a
535,451,a
535,449,a
535,448,a
535,444,a
535,441,a
535,438,a
535,434,a
534,430,a
534,425,a
534,421,a
534,416,a
534,413,a
534,409,a
535,407,a
536,404,a
537,401,a
537,395,a
537,392,a
538,390,a
538,388,a
538,385,a
538,381,a
538,378,a
538,375,a
539,365,a
539,360,a
539,358,a
539,353,a
539,348,a
539,339,a
540,333,a
540,327,a
540,323,a
541,317,a
542,308,a
542,302,a
542,298,a
542,296,a
543,291,a
543,287,a
544,283,a
545,280,a
545,277,a
545,274,a
547,269,a
547,267,a
547,266,a
548,266,a
550,266,a
552,266,a
554,266,a
556,266,a
557,266,a
